meter_urn,description,meter_type,energy_type,thermal_mode,group_name,anomaly_target,redundant_pair,role_summary,system_role,directionality,upstream_relation,downstream_relation,ops_interpretation,modeling_recommendation,note,assumption_note
H1.Z24,CM3-1,전기,소비,-,cooling_central,P,,중앙 냉각기 전력 계통,중앙 냉동기/냉각기 부하 감시,단방향(소비 중심),중앙 설비 전원 공급측,냉방 설비 및 열량계와 연계 해석,"냉방 부하 대비 전력 과다, 패턴 급변, 야간 지속 부하 확인",전력 예측과 이상탐지 모두 우선 적용 대상,,
H1.Z25,CM3-2,전기,소비,-,cooling_central,P,,중앙 냉각기 전력 계통,중앙 냉동기/냉각기 부하 감시,단방향(소비 중심),중앙 설비 전원 공급측,냉방 설비 및 열량계와 연계 해석,"냉방 부하 대비 전력 과다, 패턴 급변, 야간 지속 부하 확인",전력 예측과 이상탐지 모두 우선 적용 대상,,
H3.Z45,Design Studio 로컬 냉각기,전기,소비,-,cooling_local,P,,로컬 냉각기 전력 계통,구역별 로컬 냉각기 부하 감시,단방향(소비 중심),구역 설비 전원 공급측,개별 로컬 냉각기 부하로 연결,"특정 구역 냉각기 과부하, redundant pair 불일치 확인",개별 예측 모델 또는 cooling 군집 모델 후보,,
H2.Z66,Workshop 로컬 냉각기1 메인,전기,소비,-,cooling_local,P,H2.ZE66,로컬 냉각기 전력 계통,구역별 로컬 냉각기 부하 감시,단방향(소비 중심),구역 설비 전원 공급측,개별 로컬 냉각기 부하로 연결,"특정 구역 냉각기 과부하, redundant pair 불일치 확인",개별 예측 모델 또는 cooling 군집 모델 후보,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.ZE66,Workshop 로컬 냉각기1 redundant,전기,소비,-,cooling_local,P,H2.Z66,로컬 냉각기 전력 계통,구역별 로컬 냉각기 부하 감시,단방향(소비 중심),구역 설비 전원 공급측,개별 로컬 냉각기 부하로 연결,"특정 구역 냉각기 과부하, redundant pair 불일치 확인",개별 예측 모델 또는 cooling 군집 모델 후보,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.Z67,Workshop 로컬 냉각기2 메인,전기,소비,-,cooling_local,P,H2.ZE67,로컬 냉각기 전력 계통,구역별 로컬 냉각기 부하 감시,단방향(소비 중심),구역 설비 전원 공급측,개별 로컬 냉각기 부하로 연결,"특정 구역 냉각기 과부하, redundant pair 불일치 확인",개별 예측 모델 또는 cooling 군집 모델 후보,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.ZE67,Workshop 로컬 냉각기2 redundant,전기,소비,-,cooling_local,P,H2.Z67,로컬 냉각기 전력 계통,구역별 로컬 냉각기 부하 감시,단방향(소비 중심),구역 설비 전원 공급측,개별 로컬 냉각기 부하로 연결,"특정 구역 냉각기 과부하, redundant pair 불일치 확인",개별 예측 모델 또는 cooling 군집 모델 후보,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
V.K21,중앙 냉수 공급 메인,열량,중립,냉방,cooling_thermal,P,,냉방 열량 계통,냉수 공급/구역 냉방 열량 감시,유량·온도차 기반 중립 계측,냉수 공급 또는 구역 분기점,구역 냉방 부하로 연결,"Tdiff/qv 급변, 냉방 전력 대비 열량 불일치 확인",열량 전용 이상탐지/설비 효율 해석에 적합,,
H1.K11,HVAC 3&5,열량,중립,냉방,cooling_thermal,P,,냉방 열량 계통,냉수 공급/구역 냉방 열량 감시,유량·온도차 기반 중립 계측,냉수 공급 또는 구역 분기점,구역 냉방 부하로 연결,"Tdiff/qv 급변, 냉방 전력 대비 열량 불일치 확인",열량 전용 이상탐지/설비 효율 해석에 적합,,
H1.K12,Emission lab HVAC 1/2,열량,중립,냉방,cooling_thermal,P,,냉방 열량 계통,냉수 공급/구역 냉방 열량 감시,유량·온도차 기반 중립 계측,냉수 공급 또는 구역 분기점,구역 냉방 부하로 연결,"Tdiff/qv 급변, 냉방 전력 대비 열량 불일치 확인",열량 전용 이상탐지/설비 효율 해석에 적합,,
H1.K14,Emission lab cooling to office,열량,중립,냉방,cooling_thermal,P,,냉방 열량 계통,냉수 공급/구역 냉방 열량 감시,유량·온도차 기반 중립 계측,냉수 공급 또는 구역 분기점,구역 냉방 부하로 연결,"Tdiff/qv 급변, 냉방 전력 대비 열량 불일치 확인",열량 전용 이상탐지/설비 효율 해석에 적합,,
H1.K15,HVAC 3,열량,중립,냉방,cooling_thermal,P,,냉방 열량 계통,냉수 공급/구역 냉방 열량 감시,유량·온도차 기반 중립 계측,냉수 공급 또는 구역 분기점,구역 냉방 부하로 연결,"Tdiff/qv 급변, 냉방 전력 대비 열량 불일치 확인",열량 전용 이상탐지/설비 효율 해석에 적합,,
H1.K16,Server O1,열량,중립,냉방,cooling_thermal,P,,냉방 열량 계통,냉수 공급/구역 냉방 열량 감시,유량·온도차 기반 중립 계측,냉수 공급 또는 구역 분기점,구역 냉방 부하로 연결,"Tdiff/qv 급변, 냉방 전력 대비 열량 불일치 확인",열량 전용 이상탐지/설비 효율 해석에 적합,,
H2.K21,Office 냉방,열량,중립,냉방,cooling_thermal,P,,냉방 열량 계통,냉수 공급/구역 냉방 열량 감시,유량·온도차 기반 중립 계측,냉수 공급 또는 구역 분기점,구역 냉방 부하로 연결,"Tdiff/qv 급변, 냉방 전력 대비 열량 불일치 확인",열량 전용 이상탐지/설비 효율 해석에 적합,,
H1.W11,총 난방,열량,중립,난방,heating_thermal,P,,난방 열량 계통,난방 열량 감시,유량·온도차 기반 중립 계측,난방 공급 또는 CHP 열 공급측,구역 난방 부하로 연결,"난방 시즌 패턴, CHP 열 사용량, 공급/사용 불일치 확인",난방 시즌 중심의 열량 모델 권장,,
H1.W12,CHP 열 생산,열량,중립,난방,heating_thermal,P,,난방 열량 계통,난방 열량 감시,유량·온도차 기반 중립 계측,난방 공급 또는 CHP 열 공급측,구역 난방 부하로 연결,"난방 시즌 패턴, CHP 열 사용량, 공급/사용 불일치 확인",난방 시즌 중심의 열량 모델 권장,"H1 prefix는 physical location / sub-distribution group 의미, CHP thermal side metering",
WeatherStation.Weather,기상관측소,기상,중립,-,weather,,,기상 데이터 계측,외기/일사 외생 변수,비적용,기상관측소,예측/이상탐지 보조 변수로 사용,직접 이상탐지보다 다른 모델의 설명 변수 성격이 큼,독립 타깃보다는 feature 소스로 활용,공통 이상탐지 파이프라인 제외 대상,
V.Z81,Parking lot transformer 2,전기,소비,-,transformer,P,,변압기/상위 전력 공급 계통,상위 전원/변압기 부하 감시,대체로 단방향(소비 중심),상위 수전/변압기측,"하위 distribution, server, HVAC 등으로 분기","건물 전체 부하 급변, 상위-하위 합 불일치 여부 확인",계통 balance 체크와 상위 feature로 유용,,
V.Z82,Parking lot transformer 1,전기,소비,-,transformer,P,,변압기/상위 전력 공급 계통,상위 전원/변압기 부하 감시,대체로 단방향(소비 중심),상위 수전/변압기측,"하위 distribution, server, HVAC 등으로 분기","건물 전체 부하 급변, 상위-하위 합 불일치 여부 확인",계통 balance 체크와 상위 feature로 유용,,
H2.Z35,Transformer,전기,소비,-,transformer,P,H2.Z351,변압기/상위 전력 공급 계통,상위 전원/변압기 부하 감시,대체로 단방향(소비 중심),상위 수전/변압기측,"하위 distribution, server, HVAC 등으로 분기","건물 전체 부하 급변, 상위-하위 합 불일치 여부 확인",계통 balance 체크와 상위 feature로 유용,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.Z351,Transformer redundant,전기,소비,-,transformer,P,H2.Z35,변압기/상위 전력 공급 계통,상위 전원/변압기 부하 감시,대체로 단방향(소비 중심),상위 수전/변압기측,"하위 distribution, server, HVAC 등으로 분기","건물 전체 부하 급변, 상위-하위 합 불일치 여부 확인",계통 balance 체크와 상위 feature로 유용,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.Z36,Transformer,전기,소비,-,transformer,P,H2.Z361,변압기/상위 전력 공급 계통,상위 전원/변압기 부하 감시,대체로 단방향(소비 중심),상위 수전/변압기측,"하위 distribution, server, HVAC 등으로 분기","건물 전체 부하 급변, 상위-하위 합 불일치 여부 확인",계통 balance 체크와 상위 feature로 유용,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.Z361,Transformer redundant,전기,소비,-,transformer,P,H2.Z36,변압기/상위 전력 공급 계통,상위 전원/변압기 부하 감시,대체로 단방향(소비 중심),상위 수전/변압기측,"하위 distribution, server, HVAC 등으로 분기","건물 전체 부하 급변, 상위-하위 합 불일치 여부 확인",계통 balance 체크와 상위 feature로 유용,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H1.Z15,Distribution,전기,소비,-,distribution,,,배전/분전 계통,Feed 1 상위 공급 계통,양방향 가능,상위 Feed 1 공급측,Dist 1 및 하위 분기 부하로 연결,"양수는 inflow/consumption, 음수는 outflow/production 해석 가능. 단순 소비 계량기처럼 해석하면 안 됨.","raw는 유지, 공통 이상탐지 제외 유지, balance/관계형 feature 또는 별도 계통 모델 권장",공통 이상탐지 파이프라인 제외 대상,feed1 -> dist1 관계는 사용자 설명 기반
H1.Z28,Distribution,전기,소비,-,distribution,,,배전/분전 계통,Dist 1 배전 계통,양방향 가능,Feed 1에서 유입,Dist 1 하위 부하로 분기,"Feed 1과 쌍으로 해석해야 하며, 순방향/역방향 전력이 모두 가능할 수 있음.","단일 소비 계량기 모델 비권장, 상위 feed와 함께 관계형 분석 권장",공통 이상탐지 파이프라인 제외 대상,feed1 -> dist1 관계는 사용자 설명 기반
H2.T.Z31,HVAC office 50/51,전기,소비,-,hvac,P,,공조 설비 전력 계통,사무실 HVAC 전력 감시,단방향(소비 중심),사무실 공조 전원측,사무실 HVAC 50/51 부하,"공조 스케줄 기반 패턴, 비가동 시간대 급증 여부 확인",스케줄 기반 이상탐지/예측 적용 가능,,
H2.T.Z32,Distribution,전기,소비,-,distribution,P,,배전/분전 계통,분전/배전 흐름 감시,일부 양방향 가능,상위 transformer/feed 계통,하위 구역 부하 또는 분기 회로,"상하위 전력 흐름 일치 여부, 역방향 전력 가능성 확인",일반 소비 모델보다 계통 관계 기반 분석 권장,,
H2.T.Z33,Distribution,전기,소비,-,distribution,P,,배전/분전 계통,분전/배전 흐름 감시,일부 양방향 가능,상위 transformer/feed 계통,하위 구역 부하 또는 분기 회로,"상하위 전력 흐름 일치 여부, 역방향 전력 가능성 확인",일반 소비 모델보다 계통 관계 기반 분석 권장,,
H2.T.Z34,Distribution,전기,소비,-,distribution,P,,배전/분전 계통,분전/배전 흐름 감시,일부 양방향 가능,상위 transformer/feed 계통,하위 구역 부하 또는 분기 회로,"상하위 전력 흐름 일치 여부, 역방향 전력 가능성 확인",일반 소비 모델보다 계통 관계 기반 분석 권장,,
H2.T.Z30,Distribution,전기,소비,-,distribution,P,,배전/분전 계통,분전/배전 흐름 감시,일부 양방향 가능,상위 transformer/feed 계통,하위 구역 부하 또는 분기 회로,"상하위 전력 흐름 일치 여부, 역방향 전력 가능성 확인",일반 소비 모델보다 계통 관계 기반 분석 권장,,
H1.Z13,Cooling 1 / HVAC 1.1,전기,소비,-,hvac,P,,공조 설비 전력 계통,공조 부하 감시,단방향(소비 중심),공조 설비 전원측,AHU/HVAC 부하로 연결,"운영 시간대 패턴, 주말/야간 부하 여부 확인",일반 전기 소비 예측/이상탐지 가능,,
H1.Z14,Cooling 1 / HVAC 1.2,전기,소비,-,hvac,P,,공조 설비 전력 계통,공조 부하 감시,단방향(소비 중심),공조 설비 전원측,AHU/HVAC 부하로 연결,"운영 시간대 패턴, 주말/야간 부하 여부 확인",일반 전기 소비 예측/이상탐지 가능,,
H1.Z10,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z17,Test,전기,소비,-,test,,,테스트/실험 전력 계통,Feed 2 상위 공급 계통,양방향 가능,상위 Feed 2 공급측,Dist 2 및 하위 분기 부하로 연결,"양수는 inflow/consumption, 음수는 outflow/production 해석 가능. 단순 소비 계량기처럼 해석하면 안 됨.","raw는 유지, 공통 이상탐지 제외 유지, balance/관계형 feature 또는 별도 계통 모델 권장",공통 이상탐지 파이프라인 제외 대상,feed2 -> dist2 관계는 사용자 설명 기반
H1.Z18,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z19,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z21,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z22,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z23,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z26,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z27,Test,전기,소비,-,test,P,,테스트/실험 전력 계통,실험/테스트 부하 감시,일부 계통은 양방향 가능,실험실 또는 테스트 전원측,시험 부하/분기 회로로 연결,운영 패턴이 불규칙할 수 있어 규칙 기반 해석 필요,개별 모델보다 별도 관리 또는 제외 검토,,
H1.Z29,Test,전기,소비,-,test,,,테스트/실험 전력 계통,Dist 2 배전 계통,양방향 가능,Feed 2에서 유입,Dist 2 하위 부하로 분기,"Feed 2와 쌍으로 해석해야 하며, 순방향/역방향 전력이 모두 가능할 수 있음.","단일 소비 계량기 모델 비권장, 상위 feed와 함께 관계형 분석 권장",공통 이상탐지 파이프라인 제외 대상,feed2 -> dist2 관계는 사용자 설명 기반
H2.Z61,Server,전기,소비,-,server,P,,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,,
H2.Z62,Server,전기,소비,-,server,P,,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,,
H2.Z63,Server,전기,소비,-,server,P,,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,,
H2.Z64,Server,전기,소비,-,server,P,H2.ZE64,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.ZE64,Server redundant,전기,소비,-,server,P,H2.Z64,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.Z65,Server,전기,소비,-,server,P,H2.ZE65,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.ZE65,Server redundant,전기,소비,-,server,P,H2.Z65,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.Z71,Server O4 power supply,전기,소비,-,server,P,,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버 O4 전원 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,,
H3.Z46,Server,전기,소비,-,server,P,,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,,
H3.Z43,Server,전기,소비,-,server,P,H3.ZE43,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.ZE43,Server redundant,전기,소비,-,server,P,H3.Z43,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.Z44,Server,전기,소비,-,server,P,H3.ZE44,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.ZE44,Server redundant,전기,소비,-,server,P,H3.Z44,서버/IT 부하 전력 계통,서버/IT 부하 감시,단방향(소비 중심),서버실 전원 공급측,서버/UPS/IT 장비 부하,"24시간 기본부하, 이상 급등/급락, redundant 불일치 확인",안정적 소비 패턴이라 예측/이상탐지 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H2.Z68,Ventilation,전기,소비,-,ventilation,P,,환기 설비 전력 계통,환기 설비 부하 감시,단방향(소비 중심),환기 설비 전원측,팬/환기 부하로 연결,운영 스케줄 기반의 반복 패턴 확인,시간대 feature가 잘 먹는 계통,,
H2.Z69,Ventilation,전기,소비,-,ventilation,P,,환기 설비 전력 계통,환기 설비 부하 감시,단방향(소비 중심),환기 설비 전원측,팬/환기 부하로 연결,운영 스케줄 기반의 반복 패턴 확인,시간대 feature가 잘 먹는 계통,,
H2.Z70,Ventilation,전기,소비,-,ventilation,P,,환기 설비 전력 계통,환기 설비 부하 감시,단방향(소비 중심),환기 설비 전원측,팬/환기 부하로 연결,운영 스케줄 기반의 반복 패턴 확인,시간대 feature가 잘 먹는 계통,,
H3.Z42,Ventilation,전기,소비,-,ventilation,P,,환기 설비 전력 계통,환기 설비 부하 감시,단방향(소비 중심),환기 설비 전원측,팬/환기 부하로 연결,운영 스케줄 기반의 반복 패턴 확인,시간대 feature가 잘 먹는 계통,,
H3.Z40,Design distribution,전기,소비,-,design_dis,P,H3.ZE40,디자인 구역 배전 계통,디자인 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,디자인 구역 하위 부하,구역 부하 패턴/이중화 pair 비교,구역별 소비 모델 또는 balance feature,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.ZE40,Design distribution redundant,전기,소비,-,design_dis,P,H3.Z40,디자인 구역 배전 계통,디자인 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,디자인 구역 하위 부하,구역 부하 패턴/이중화 pair 비교,구역별 소비 모델 또는 balance feature,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.Z41,Design distribution,전기,소비,-,design_dis,P,H3.ZE41,디자인 구역 배전 계통,디자인 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,디자인 구역 하위 부하,구역 부하 패턴/이중화 pair 비교,구역별 소비 모델 또는 balance feature,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.ZE41,Design distribution redundant,전기,소비,-,design_dis,P,H3.Z41,디자인 구역 배전 계통,디자인 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,디자인 구역 하위 부하,구역 부하 패턴/이중화 pair 비교,구역별 소비 모델 또는 balance feature,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H4.Z50,Office distribution,전기,소비,-,office_dis,P,H4.ZE50,오피스 구역 배전 계통,오피스 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,오피스 구역 하위 부하,"평일/주말 차이, 업무시간 패턴 해석에 적합",스케줄 기반 예측 모델 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H4.ZE50,Office distribution redundant,전기,소비,-,office_dis,P,H4.Z50,오피스 구역 배전 계통,오피스 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,오피스 구역 하위 부하,"평일/주말 차이, 업무시간 패턴 해석에 적합",스케줄 기반 예측 모델 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H4.Z51,Office distribution,전기,소비,-,office_dis,P,H4.ZE51,오피스 구역 배전 계통,오피스 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,오피스 구역 하위 부하,"평일/주말 차이, 업무시간 패턴 해석에 적합",스케줄 기반 예측 모델 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H4.ZE51,Office distribution redundant,전기,소비,-,office_dis,P,H4.Z51,오피스 구역 배전 계통,오피스 구역 분전 감시,단방향(소비 중심),상위 배전/분전 계통,오피스 구역 하위 부하,"평일/주말 차이, 업무시간 패턴 해석에 적합",스케줄 기반 예측 모델 적합,이중화 계량기 쌍 존재,redundant pair 비교 해석 가능
H3.Z47,Driving simulator general,전기,소비,-,simulation,P,,시뮬레이션 구역 전력 계통,시뮬레이션 구역 부하 감시,단방향(소비 중심),구역 전원 공급측,시뮬레이터/실험 부하로 연결,실험 일정에 따라 비정규 패턴 가능,개별 모델 + 캘린더 정보가 유리,,
H3.Z48,Driving simulator control,전기,소비,-,simulation,P,,시뮬레이션 구역 전력 계통,시뮬레이션 구역 부하 감시,단방향(소비 중심),구역 전원 공급측,시뮬레이터/실험 부하로 연결,실험 일정에 따라 비정규 패턴 가능,개별 모델 + 캘린더 정보가 유리,,
